query_id,before_selected_model,after_selected_model,selected_changed,before_utility,after_utility,utility_delta,predicted_gain,probe_cost
math500:test:6,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0765723240001389
math500:test:7,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0622063720001569
math500:test:8,MiniCPM4.1-8B,Qwen3-8B,True,1.0,1.0,0.0,0.0,0.0626367140002294
math500:test:9,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0932812700002941
math500:test:13,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0709250299998602
math500:test:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1190475629999709
math500:test:24,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.084024718000146
math500:test:43,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0550621110002393
math500:test:46,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0918808919996408
math500:test:50,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0616698690000084
math500:test:58,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0700224619997316
math500:test:61,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1231031889998485
math500:test:69,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0709725260000668
math500:test:71,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0771158470001719
math500:test:77,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0550149610000116
math500:test:84,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1888663839996515
math500:test:85,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0563443950001383
math500:test:92,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0547210109999978
math500:test:95,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.0814619220002059
math500:test:99,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0919439979998387
math500:test:100,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1917785000001677
math500:test:102,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0606840699998938
math500:test:104,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1230086249999112
math500:test:109,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0548510530003623
math500:test:110,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0801110959996403
math500:test:124,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0630586160001767
math500:test:129,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0693944830001855
aime:hybrid:4,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0717881410002592
aime:hybrid:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0559617690002196
aime:hybrid:17,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0718354449997678
aime:hybrid:18,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.070466595999922
aime:hybrid:22,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0702661460001836
aime:hybrid:27,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.0732514890002749
aime:hybrid:30,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0710128610000611
aime:hybrid:31,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0708814120000242
aime:hybrid:34,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0698304700001317
aime:hybrid:36,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0731552929998615
aime:hybrid:37,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.0711952650001039
aime:hybrid:39,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0706678779999565
aime:hybrid:44,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.1102328930001822
aime:hybrid:53,MiniCPM4.1-8B,MiniCPM4.1-8B,False,0.0,0.0,0.0,0.0,0.0791318979997486
