result_id,result_dir,claim_id,claim,status,primary_metric,primary_value,threshold,evidence,interpretation
llmrouterbench_pilot,results/llmrouterbench_pilot,low_rate_oracle_codes,Useful low-rate utility route codes exist.,diagnostic_supported,best_low_rate_oracle_recovered_gap_vs_oracle,1.0,diagnostic if >= 0.80 by K<=16,"table_rate_distortion.csv, method=regret_routecode_oracle_labels, K=8.0000, recovered_gap_vs_oracle=1.0000",Low-rate oracle code labels preserve most oracle routing gain.
llmrouterbench_pilot,results/llmrouterbench_pilot,small_inferred_labels,Small inferred route labels recover most routing performance.,not_supported,best_inferred_recovered_gap_vs_oracle,0.3458646616541354,supported only if recovered gap >= 0.85 and lower bootstrap CI >= 0.80,"table_predictability_constrained.csv, method=d2_embedding_centroid, K=16.0000, alpha=3.0000, recovered_gap_vs_oracle=0.3459",Do not claim that small inferred labels recover most routing performance.
llmrouterbench_pilot,results/llmrouterbench_pilot,model_pool_transfer,Route labels transfer across model pools better than same-budget direct retraining.,diagnostic_alive,mean_matched_transfer_minus_direct_recovered_gap,0.3082770658215055,diagnostic if > 0; paper-level support requires broader split/model coverage,"transfer_scenario=complementary_to_remaining_top: routecode=0.3051, direct=0.0169, diff=0.2881; transfer_scenario=dominated_to_remaining_top: routecode=0.5528, direct=0.1789, diff=0.3740; transfer_scenario=top_to_next: routecode=0.2797, direct=0.0169, diff=0.2627",Transfer remains alive as a bounded diagnostic.
llmrouterbench_pilot,results/llmrouterbench_pilot,new_model_calibration,New models can be integrated with fewer calibration examples than direct retraining.,diagnostic_alive,mean_matched_routecode_minus_direct_recovered_gap,0.2338999673095782,diagnostic if > 0; paper-level support requires stronger cost accounting and broader repeats,"new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=1: routecode=-0.3233, direct=0.0677, diff=-0.3910; new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=16: routecode=0.2857, direct=0.0677, diff=0.2180; new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=2: routecode=0.1504, direct=0.0677, diff=0.0827; new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=32: routecode=0.3233, direct=0.0376, diff=0.2857; new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=4: routecode=0.2932, direct=0.0677, diff=0.2256; new_model_id=DeepSeek-R1-Distill-Qwen-7B, examples_per_label=64: routecode=0.3233, direct=0.0376, diff=0.2857",Calibration remains alive as a bounded diagnostic.
llmrouterbench_pilot,results/llmrouterbench_pilot,benchmark_diagnosis,Benchmark routing results expose compressibility or split-design artifacts.,diagnostic_supported,min_split_rank_correlation,0.1927710843373493,diagnostic if rank correlation < 0.50 or dataset-label recovered gap >= 0.25,"table_split_rank_correlation.csv: scenario=leave_domain_out:code, rank_correlation=0.1928; table_recovered_gap.csv, method=dataset_label_lookup, K=6.0000, recovered_gap_vs_oracle=0.3759",Benchmark diagnosis is supported as a diagnostic thread.
llmrouterbench_pilot,results/llmrouterbench_pilot,adaptive_refinement,Adaptive refinement improves cost-quality by refining uncertain queries.,not_supported,top10_regret_mass_fraction,0.2682926829268293,defer unless residual-risk gate is strong; current heuristic expects top-10% regret mass >= 0.30,"table_residual_risk.csv, regret_mass_fraction=0.2683",Do not implement or claim adaptive refinement from the current residual-risk gate.
llmrouterbench_broad10,results/llmrouterbench_broad10,low_rate_oracle_codes,Useful low-rate utility route codes exist.,diagnostic_supported,best_low_rate_oracle_recovered_gap_vs_oracle,1.0,diagnostic if >= 0.80 by K<=16,"table_rate_distortion.csv, method=regret_routecode_oracle_labels, K=16.0000, recovered_gap_vs_oracle=1.0000",Low-rate oracle code labels preserve most oracle routing gain.
llmrouterbench_broad10,results/llmrouterbench_broad10,small_inferred_labels,Small inferred route labels recover most routing performance.,not_supported,best_inferred_recovered_gap_vs_oracle,0.1891447368421052,supported only if recovered gap >= 0.85 and lower bootstrap CI >= 0.80,"table_recovered_gap.csv, method=predicted_topic_lookup, K=18.0000, recovered_gap_vs_oracle=0.1891",Do not claim that small inferred labels recover most routing performance.
llmrouterbench_broad10,results/llmrouterbench_broad10,model_pool_transfer,Route labels transfer across model pools better than same-budget direct retraining.,diagnostic_alive,mean_matched_transfer_minus_direct_recovered_gap,0.1523491339293721,diagnostic if > 0; paper-level support requires broader split/model coverage,"transfer_scenario=complementary_to_remaining_top_s4_t4: routecode=0.2163, direct=0.0460, diff=0.1702; transfer_scenario=complementary_to_remaining_top_s6_t4: routecode=0.2244, direct=0.0592, diff=0.1652; transfer_scenario=dominated_to_remaining_top_s4_t4: routecode=0.1678, direct=0.0559, diff=0.1119; transfer_scenario=dominated_to_remaining_top_s6_t4: routecode=0.1596, direct=0.0587, diff=0.1009; transfer_scenario=top_to_next_s4_t4: routecode=0.1933, direct=0.0521, diff=0.1411; transfer_scenario=top_to_next_s6_t4: routecode=0.2917, direct=0.0669, diff=0.2247",Transfer remains alive as a bounded diagnostic.
llmrouterbench_broad10,results/llmrouterbench_broad10,new_model_calibration,New models can be integrated with fewer calibration examples than direct retraining.,diagnostic_alive,mean_matched_routecode_minus_direct_recovered_gap,0.4105968045112781,diagnostic if > 0; paper-level support requires stronger cost accounting and broader repeats,"new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=1: routecode=-0.1447, direct=-0.3322, diff=0.1875; new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=16: routecode=0.1776, direct=-0.3322, diff=0.5099; new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=2: routecode=-0.0444, direct=-0.3322, diff=0.2878; new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=32: routecode=0.1776, direct=-0.3322, diff=0.5099; new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=4: routecode=0.1118, direct=-0.3322, diff=0.4441; new_model_id=Llama-3.1-8B-UltraMedical, examples_per_label=64: routecode=0.1776, direct=-0.3322, diff=0.5099",Calibration remains alive as a bounded diagnostic.
