requirement_id,category,requirement,status,evidence_paths,metric,notes
deliverable_table_observability_strong_encoders.csv,minimum_deliverable,`results/phase2/table_observability_strong_encoders.csv` exists and is non-empty.,complete,results/phase2/table_observability_strong_encoders.csv,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_fig_observability_gap.pdf,minimum_deliverable,`results/phase2/fig_observability_gap.pdf` exists and is non-empty.,complete,results/phase2/fig_observability_gap.pdf,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_local_model_outcomes.parquet,minimum_deliverable,`results/phase2/local_model_outcomes.parquet` exists and is non-empty.,complete,results/phase2/local_model_outcomes.parquet,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_probe_features.parquet,minimum_deliverable,`results/phase2/probe_features.parquet` exists and is non-empty.,complete,results/phase2/probe_features.parquet,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_table_probe_signal_analysis.csv,minimum_deliverable,`results/phase2/table_probe_signal_analysis.csv` exists and is non-empty.,complete,results/phase2/table_probe_signal_analysis.csv,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_table_proberoute_policy.csv,minimum_deliverable,`results/phase2/table_proberoute_policy.csv` exists and is non-empty.,complete,results/phase2/table_proberoute_policy.csv,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_fig_gap_closed_vs_probe_cost.pdf,minimum_deliverable,`results/phase2/fig_gap_closed_vs_probe_cost.pdf` exists and is non-empty.,complete,results/phase2/fig_gap_closed_vs_probe_cost.pdf,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_table_active_new_model_calibration.csv,minimum_deliverable,`results/phase2/table_active_new_model_calibration.csv` exists and is non-empty.,complete,results/phase2/table_active_new_model_calibration.csv,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_fig_new_model_calibration_curve.pdf,minimum_deliverable,`results/phase2/fig_new_model_calibration_curve.pdf` exists and is non-empty.,complete,results/phase2/fig_new_model_calibration_curve.pdf,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
deliverable_PHASE2_EVIDENCE_REPORT.md,minimum_deliverable,`results/phase2/PHASE2_EVIDENCE_REPORT.md` exists and is non-empty.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,present=1,Minimum deliverable from CODEX_GOAL_PHASE2.md.
task_1_modules,implementation_task,"Add modules for latent states, probes, belief updates, VOI policies, local evaluation, and active calibration.",complete,src/routecode/states/observability.py;src/routecode/probes/policies.py;src/routecode/probes/probe_features.py;src/routecode/local_eval/generation_runner.py;src/routecode/local_eval/probe_runner.py;src/routecode/eval/new_model_calibration.py,present=6/6,Core module files exist.
task_2_phase1_recap,implementation_task,Reproduce Phase 1 observability-gap numbers from existing results.,complete,results/phase2/m0_previous_findings_recap.md,present=1/1,Recap memo is present.
