query_id,group_id,split,benchmark,domain,state_method,k,assignment_kind
aime:hybrid:1,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:10,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:11,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:12,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:13,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:14,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:15,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:16,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:17,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:18,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:19,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:2,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:20,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:21,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:22,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:23,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:24,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:25,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:26,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:27,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:28,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:29,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:3,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:30,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:31,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:32,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:33,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:34,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:35,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:36,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:37,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:38,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:39,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:4,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:40,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:41,z00,train,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:42,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:43,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:44,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:45,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:46,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:47,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:48,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:49,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:5,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:50,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:51,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:52,z00,val,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:53,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:54,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:55,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:56,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:57,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:58,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:59,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:6,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:60,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:7,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:8,z00,test,aime,math,relative_kmeans,2,utility_state_label
aime:hybrid:9,z00,test,aime,math,relative_kmeans,2,utility_state_label
bbh:test:1,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:10,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:100,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:11,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:12,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:13,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:14,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:15,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:16,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:17,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:18,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:19,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:2,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:20,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:21,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:22,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:23,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:24,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:25,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:26,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:27,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:28,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:29,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:3,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:30,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:31,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:32,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:33,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:34,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:35,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:36,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:37,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:38,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:39,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:4,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:40,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:5,z01,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:6,z00,train,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:7,z00,val,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:8,z00,val,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:81,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:82,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:83,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:84,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:85,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:86,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:87,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:88,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:89,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:9,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:90,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:91,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:92,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:93,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:94,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:95,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:96,z00,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:97,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:98,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
bbh:test:99,z01,test,bbh,reasoning,relative_kmeans,2,utility_state_label
gpqa:test:1,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:10,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:100,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:11,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:12,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:13,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:14,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:15,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:16,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:17,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:18,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:19,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:2,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:20,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:21,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:22,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:23,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:24,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
