criterion,status,evidence
final_method,present,"final_method/METHOD_CARD.md, final_method/table_final_state_cards.csv, final_method/code_cards.md"
main_routing,present,main_eval/table_main_routing_eval.csv
baseline_table,present,table_final_baselines.csv
calibration_strata,present,"calibration_strata/table_state_variance.csv, calibration_strata/table_state_estimation_error.csv, calibration_strata/table_state_best_model_accuracy.csv"
new_model_onboarding,present,new_model_onboarding/table_new_model_onboarding.csv
frozen_state_vs_retrain,present,frozen_state_vs_retrain/table_frozen_state_vs_retrain.csv
cost_price_sensitivity,present,sensitivity/table_price_sensitivity.csv
final_report,present,"FINAL_EVALUATION_REPORT.md, table_final_claims.csv"
final_root_figures,present,"fig_final_quality_cost_frontier.pdf, fig_final_calibration_efficiency.pdf, fig_final_oracle_gap.pdf"
model_action_outputs_cached,present,results/controlled/broad100_vllm_self_consistency_probe/model_outputs_with_self_consistency.parquet
minimum_benchmark_scope,complete,benchmark_families=9;path=main_eval/table_per_benchmark_eval.csv
final_matrix_shape,complete,"queries=860;actions=9;benchmarks=9;splits=test,train,val"
three_literature_baselines,complete,rows=3;pending=0
calibration_strata_claim_result,not_supported_on_cached_broad100,supported/unsupported claim is recorded conservatively in table_final_claims.csv
active_onboarding_claim_result,not_supported_on_cached_broad100,supported/unsupported claim is recorded conservatively in table_final_claims.csv
predicted_utility_state_calibration_strata_claim,supported_on_cached_broad100,new predicted-state claim is recorded in table_final_claims.csv
predicted_utility_state_onboarding_claim,supported_on_cached_broad100,new predicted-state onboarding claim is recorded in table_final_claims.csv
active_acquisition_advantage_claim,weakly_supported_on_cached_broad100,active acquisition advantage is recorded separately from state-based onboarding
live_predicted_utility_state_calibration_strata_claim,supported_on_live_broad100_stage0,live Stage0 predicted-state claim is recorded in table_final_claims.csv
live_predicted_utility_state_onboarding_claim,weakly_supported_on_live_broad100_stage0,live Stage0 predicted-state onboarding claim is recorded in table_final_claims.csv
live_active_acquisition_advantage_claim,weakly_supported_on_live_broad100_stage0,live Stage0 active acquisition advantage is recorded separately
live_frontier_active_onboarding_low_budget_claim,supported_on_live_broad100_stage0,GPT/Gemini frontier onboarding slice is recorded in table_final_claims.csv
live_frontier_budget_efficiency_claim,supported_on_live_broad100_stage0,frontier budget-to-match table is recorded in table_final_claims.csv
price_adaptation_claim_result,table_generated,rows=240
optional_live_call_status,partial_local_live_only,local vLLM calls plus GPT/Gemini readiness status are recorded
