method,split,state_method,predictor,k,policy_kind,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_total_usd,frontier_call_rate,mean_latency_s,confidence_threshold,active_probe_rate,selected_models_json
relative_kmeans_k16_diagnostic_true_state,test,relative_kmeans,oracle_state,16,diagnostic_true_state,170,0.7529411764705882,0.7294568665959476,0.7316353287183842,0.002178462122436664,0.9970224754916459,0.0822585,0.17647058823529413,1.755976474986357,,0.0,"{""gemini-3.5-flash"": 20, ""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 80, ""qwen3-32b-awq-local"": 17, ""qwen3-4b-local"": 20, ""qwen3-8b-local"": 23}"
relative_kmeans_k4_diagnostic_true_state,test,relative_kmeans,oracle_state,4,diagnostic_true_state,170,0.711764705882353,0.6716142543275583,0.7316353287183842,0.060021074390825935,0.9179631272098824,0.140635,0.15294117647058825,1.670730032640345,,0.0,"{""gpt-5.5"": 26, ""qwen3-14b-awq-local"": 87, ""qwen3-4b-local"": 57}"
relative_kmeans_k8_diagnostic_true_state,test,relative_kmeans,oracle_state,8,diagnostic_true_state,170,0.6764705882352942,0.6537108621843537,0.7316353287183842,0.07792446653403051,0.8934927504518789,0.0797205,0.21764705882352942,1.573710194756003,,0.0,"{""gemini-3.5-flash"": 27, ""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 88, ""qwen3-32b-awq-local"": 25, ""qwen3-4b-local"": 20}"
relative_kmeans_k2_knn_active_state_reveal,test,relative_kmeans,knn,2,diagnostic_active_state_reveal,170,0.6176470588235294,0.6064742503363328,0.7316353287183842,0.12516107838205137,0.8289296956158504,0.039135,0.5705882352941176,2.965884274594924,0.61,0.22941176470588234,"{""gemini-3.5-flash"": 97, ""qwen3-32b-awq-local"": 73}"
relative_kmeans_k2_diagnostic_true_state,test,relative_kmeans,oracle_state,2,diagnostic_true_state,170,0.611764705882353,0.5996668967691562,0.7316353287183842,0.13196843194922803,0.8196253970124721,0.042374999999999996,0.5647058823529412,2.882667098325842,,0.0,"{""gemini-3.5-flash"": 96, ""qwen3-32b-awq-local"": 74}"
relative_kmeans_k2_mlp_active_state_reveal,test,relative_kmeans,mlp,2,diagnostic_active_state_reveal,170,0.6058823529411764,0.5915846696540153,0.7316353287183842,0.14005065906436887,0.8085785997927444,0.0500805,0.6411764705882353,3.1482694864273073,0.88,0.17647058823529413,"{""gemini-3.5-flash"": 109, ""qwen3-32b-awq-local"": 61}"
relative_kmeans_k8_mlp_active_state_reveal,test,relative_kmeans,mlp,8,diagnostic_active_state_reveal,170,0.6,0.5906416487592677,0.7316353287183842,0.1409936799591165,0.807289677760508,0.0327795,0.17058823529411765,1.2296273455900304,0.31,0.4294117647058823,"{""gemini-3.5-flash"": 25, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 102, ""qwen3-32b-awq-local"": 27, ""qwen3-4b-local"": 12}"
relative_kmeans_k2_knn_lowconf_fallback,test,relative_kmeans,knn,2,low_confidence_fallback,170,0.5882352941176471,0.5802246174000733,0.7316353287183842,0.15141071131831096,0.79305166744266,0.028059,0.4764705882352941,2.599098930639379,0.61,0.22941176470588234,"{""gemini-3.5-flash"": 81, ""qwen3-32b-awq-local"": 89}"
relative_kmeans_k2_knn_plain,test,relative_kmeans,knn,2,plain_predicted_state,170,0.5823529411764706,0.5680985102333955,0.7316353287183842,0.1635368184849887,0.7764776903659664,0.049929,0.6411764705882353,3.0852825725779813,0.61,0.0,"{""gemini-3.5-flash"": 109, ""qwen3-32b-awq-local"": 61}"
relative_kmeans_k2_mlp_lowconf_fallback,test,relative_kmeans,mlp,2,low_confidence_fallback,170,0.5764705882352941,0.5633835423415139,0.7316353287183842,0.16825178637687033,0.7700332668850214,0.04584,0.5705882352941176,2.8790664448457606,0.88,0.17647058823529413,"{""gemini-3.5-flash"": 97, ""qwen3-32b-awq-local"": 73}"
relative_kmeans_k2_torch_mlp_lowconf_fallback,test,relative_kmeans,torch_mlp,2,low_confidence_fallback,170,0.5705882352941176,0.55689437186004,0.7316353287183842,0.17474095685834423,0.7611638612853204,0.0479655,0.5705882352941176,2.8947733514449174,0.9500000000000001,0.1,"{""gemini-3.5-flash"": 97, ""qwen3-32b-awq-local"": 73}"
relative_kmeans_k2_torch_mlp_active_state_reveal,test,relative_kmeans,torch_mlp,2,diagnostic_active_state_reveal,170,0.5705882352941176,0.5561308181025593,0.7316353287183842,0.17550451061582495,0.7601202351405602,0.050640000000000004,0.611764705882353,3.0852889215244965,0.9500000000000001,0.1,"{""gemini-3.5-flash"": 104, ""qwen3-32b-awq-local"": 66}"
relative_kmeans_k2_torch_mlp_plain,test,relative_kmeans,torch_mlp,2,plain_predicted_state,170,0.5647058823529412,0.5500716016157634,0.7316353287183842,0.1815637271026208,0.7518384911501356,0.0512595,0.5941176470588235,3.043998395695406,0.9500000000000001,0.0,"{""gemini-3.5-flash"": 101, ""qwen3-32b-awq-local"": 69}"
