method,split,state_method,predictor,k,policy_kind,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_total_usd,frontier_call_rate,mean_latency_s,confidence_threshold,active_probe_rate,selected_models_json
relative_kmeans_k16_diagnostic_true_state,test,relative_kmeans,oracle_state,16,diagnostic_true_state,170,0.7529411764705882,0.7294568665959476,0.7316353287183842,0.002178462122436664,0.9970224754916459,0.0822585,0.17647058823529413,1.755976474986357,,0.0,"{""gemini-3.5-flash"": 20, ""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 80, ""qwen3-32b-awq-local"": 17, ""qwen3-4b-local"": 20, ""qwen3-8b-local"": 23}"
relative_kmeans_k16_text_cnn_active_state_reveal,test,relative_kmeans,text_cnn,16,diagnostic_active_state_reveal,170,0.5588235294117647,0.5436996264296516,0.7316353287183842,0.18793570228873258,0.7431292682135209,0.0529745,0.1588235294117647,1.4672366114223705,0.46,0.27058823529411763,"{""gemini-3.5-flash"": 21, ""gpt-5.5"": 6, ""qwen3-14b-awq-local"": 72, ""qwen3-32b-awq-local"": 34, ""qwen3-4b-local"": 21, ""qwen3-8b-local"": 16}"
relative_kmeans_k16_torch_mlp_active_state_reveal,test,relative_kmeans,torch_mlp,16,diagnostic_active_state_reveal,170,0.5705882352941176,0.5318848101815704,0.7316353287183842,0.1997505185368138,0.7269807639186594,0.1355665,0.11764705882352941,1.7012505334966324,0.81,0.2529411764705882,"{""gemini-3.5-flash"": 6, ""gpt-5.5"": 14, ""qwen3-14b-awq-local"": 76, ""qwen3-32b-awq-local"": 32, ""qwen3-4b-local"": 16, ""qwen3-8b-local"": 26}"
relative_kmeans_k16_text_cnn_plain,test,relative_kmeans,text_cnn,16,plain_predicted_state,170,0.4764705882352941,0.47075085828418284,0.7316353287183842,0.2608844704342014,0.6434228088859565,0.020034500000000004,0.16470588235294117,1.2216339181451237,0.46,0.0,"{""gemini-3.5-flash"": 26, ""gpt-5.5"": 2, ""qwen3-14b-awq-local"": 74, ""qwen3-32b-awq-local"": 31, ""qwen3-4b-local"": 21, ""qwen3-8b-local"": 16}"
relative_kmeans_k16_text_cnn_lowconf_fallback,test,relative_kmeans,text_cnn,16,low_confidence_fallback,170,0.4647058823529412,0.46280449217727415,0.7316353287183842,0.26883083654111006,0.63256170664691,0.00666,0.08823529411764706,1.0841565805322984,0.46,0.27058823529411763,"{""gemini-3.5-flash"": 15, ""qwen3-14b-awq-local"": 55, ""qwen3-32b-awq-local"": 75, ""qwen3-4b-local"": 12, ""qwen3-8b-local"": 13}"
relative_kmeans_k16_torch_mlp_plain,test,relative_kmeans,torch_mlp,16,plain_predicted_state,170,0.49411764705882355,0.4613222352038219,0.7316353287183842,0.27031309351456234,0.6305357561285708,0.1148725,0.10588235294117647,1.5970894813537597,0.81,0.0,"{""gemini-3.5-flash"": 7, ""gpt-5.5"": 11, ""qwen3-14b-awq-local"": 81, ""qwen3-32b-awq-local"": 30, ""qwen3-4b-local"": 20, ""qwen3-8b-local"": 21}"
relative_kmeans_k16_torch_mlp_lowconf_fallback,test,relative_kmeans,torch_mlp,16,low_confidence_fallback,170,0.4823529411764706,0.4518036535267333,0.7316353287183842,0.2798316751916509,0.617525747858792,0.107005,0.058823529411764705,1.2879739186343024,0.81,0.2529411764705882,"{""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 64, ""qwen3-32b-awq-local"": 69, ""qwen3-4b-local"": 12, ""qwen3-8b-local"": 15}"
relative_kmeans_k16_diagnostic_true_state,val,relative_kmeans,oracle_state,16,diagnostic_true_state,152,0.8289473684210527,0.7828105486478716,0.7838220990400472,0.0010115503921755975,0.99870946431159,0.1444925,0.17763157894736842,2.1095535112054726,,0.0,"{""gemini-3.5-flash"": 9, ""gpt-5.5"": 18, ""qwen3-14b-awq-local"": 58, ""qwen3-32b-awq-local"": 21, ""qwen3-4b-local"": 26, ""qwen3-8b-local"": 20}"
relative_kmeans_k16_text_cnn_active_state_reveal,val,relative_kmeans,text_cnn,16,diagnostic_active_state_reveal,152,0.618421052631579,0.6022025599406152,0.7838220990400472,0.18161953909943196,0.7682898462267614,0.050793500000000005,0.1513157894736842,1.7295421079585427,0.46,0.28289473684210525,"{""gemini-3.5-flash"": 17, ""gpt-5.5"": 6, ""qwen3-14b-awq-local"": 73, ""qwen3-32b-awq-local"": 17, ""qwen3-4b-local"": 20, ""qwen3-8b-local"": 19}"
relative_kmeans_k16_torch_mlp_active_state_reveal,val,relative_kmeans,torch_mlp,16,diagnostic_active_state_reveal,152,0.5723684210526315,0.5441415990848556,0.7838220990400472,0.23968049995519158,0.6942156896970243,0.08840150000000001,0.1513157894736842,1.5663050836638401,0.81,0.29605263157894735,"{""gemini-3.5-flash"": 10, ""gpt-5.5"": 13, ""qwen3-14b-awq-local"": 74, ""qwen3-32b-awq-local"": 19, ""qwen3-4b-local"": 22, ""qwen3-8b-local"": 14}"
relative_kmeans_k16_text_cnn_plain,val,relative_kmeans,text_cnn,16,plain_predicted_state,152,0.5263157894736842,0.5171843759271443,0.7838220990400472,0.2666377231129029,0.6598236724386106,0.028598,0.17763157894736842,1.5685900402696509,0.46,0.0,"{""gemini-3.5-flash"": 23, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 79, ""qwen3-32b-awq-local"": 16, ""qwen3-4b-local"": 12, ""qwen3-8b-local"": 18}"
relative_kmeans_k16_text_cnn_lowconf_fallback,val,relative_kmeans,text_cnn,16,low_confidence_fallback,152,0.5197368421052632,0.5164494629819537,0.7838220990400472,0.26737263605809347,0.6588860707224934,0.010295499999999999,0.09868421052631579,1.3934230020171718,0.46,0.28289473684210525,"{""gemini-3.5-flash"": 14, ""gpt-5.5"": 1, ""qwen3-14b-awq-local"": 61, ""qwen3-32b-awq-local"": 53, ""qwen3-4b-local"": 9, ""qwen3-8b-local"": 14}"
relative_kmeans_k16_torch_mlp_plain,val,relative_kmeans,torch_mlp,16,plain_predicted_state,152,0.4605263157894737,0.4412018078081411,0.7838220990400472,0.34262029123190607,0.5628851347116702,0.060521,0.13157894736842105,1.4532079712340706,0.81,0.0,"{""gemini-3.5-flash"": 9, ""gpt-5.5"": 11, ""qwen3-14b-awq-local"": 78, ""qwen3-32b-awq-local"": 20, ""qwen3-4b-local"": 19, ""qwen3-8b-local"": 15}"
relative_kmeans_k16_torch_mlp_lowconf_fallback,val,relative_kmeans,torch_mlp,16,low_confidence_fallback,152,0.4473684210526316,0.43266837150876114,0.7838220990400472,0.35115372753128604,0.5519981792279821,0.046038,0.08552631578947369,1.2448426830141168,0.81,0.29605263157894735,"{""gemini-3.5-flash"": 6, ""gpt-5.5"": 7, ""qwen3-14b-awq-local"": 59, ""qwen3-32b-awq-local"": 58, ""qwen3-4b-local"": 13, ""qwen3-8b-local"": 9}"
