true_label,predicted_label,true_model,predicted_model,count,mean_true_label_utility,mean_predicted_label_utility,mean_regret,predictor
0,0,Intern-S1-mini,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
0,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,4,1.0,0.0,1.0,embedding_centroid_assignment
0,5,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
0,7,Intern-S1-mini,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,9,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
0,10,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
0,11,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,12,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
0,14,Intern-S1-mini,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,15,Intern-S1-mini,Qwen3-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
1,0,Intern-S1-mini,Intern-S1-mini,5,1.0,1.0,0.0,embedding_centroid_assignment
1,1,Intern-S1-mini,Intern-S1-mini,23,1.0,1.0,0.0,embedding_centroid_assignment
1,2,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
1,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,14,1.0,1.0,0.0,embedding_centroid_assignment
1,5,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
1,6,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
1,8,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,5,1.0,1.0,0.0,embedding_centroid_assignment
1,9,Intern-S1-mini,Llama-3.1-8B-Instruct,17,1.0,1.0,0.0,embedding_centroid_assignment
1,10,Intern-S1-mini,MiniCPM4.1-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
1,11,Intern-S1-mini,MiniCPM4.1-8B,22,1.0,1.0,0.0,embedding_centroid_assignment
1,12,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
1,13,Intern-S1-mini,MiniCPM4.1-8B,2,1.0,1.0,0.0,embedding_centroid_assignment
1,14,Intern-S1-mini,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
1,15,Intern-S1-mini,Qwen3-8B,15,1.0,1.0,0.0,embedding_centroid_assignment
2,3,Qwen2.5-Coder-7B-Instruct,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,5,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
2,7,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,9,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,8,1.0,0.0,1.0,embedding_centroid_assignment
2,10,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
2,11,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
2,13,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,14,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,15,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
3,0,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
3,1,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
3,3,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,11,1.0,1.0,0.0,embedding_centroid_assignment
3,6,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
3,7,DeepSeek-R1-Distill-Qwen-7B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
3,8,DeepSeek-R1-Distill-Qwen-7B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
3,9,DeepSeek-R1-Distill-Qwen-7B,Llama-3.1-8B-Instruct,3,1.0,0.0,1.0,embedding_centroid_assignment
