candidate,k,alpha,selection_basis,training_datasets,validation_datasets,n_train_queries,n_validation_queries,n_test_queries,n_policy_slice_queries,val_relative_gap_to_oracle,test_relative_gap_to_oracle,policy_slice_relative_gap_to_oracle,policy_slice_mean_utility,policy_slice_oracle_mean_utility,policy_slice_regret_count,val_selection_rank,selected_by_val,policy_slice_within_threshold,val_selected_policy_slice_within_threshold,selected_by_target_rate,target_rate_selection_rank,target_rate_policy_slice_within_threshold
routecode_embedding_predicted:k4:alpha3,4,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.031249999999999972,0.053097345132743334,0.0789473684210527,0.8536585365853658,0.926829268292683,3,1,True,False,False,False,,False
routecode_embedding_predicted:k8:alpha3,8,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.041666666666666706,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,2,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha10,4,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.041666666666666706,0.053097345132743334,0.0789473684210527,0.8536585365853658,0.926829268292683,3,3,False,False,False,False,,False
routecode_embedding_predicted:k8:alpha10,8,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.041666666666666706,0.04424778761061947,0.0789473684210527,0.8536585365853658,0.926829268292683,3,4,False,False,False,False,,False
routecode_embedding_predicted:k64:alpha3,64,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.041666666666666706,0.07079646017699119,0.10526315789473693,0.8292682926829268,0.926829268292683,4,5,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha0.3,4,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.026548672566371726,0.0,0.926829268292683,0.926829268292683,0,6,False,True,False,False,,False
routecode_embedding_predicted:k16:alpha3,16,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.035398230088495596,0.026315789473684233,0.9024390243902439,0.926829268292683,1,7,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha1,256,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,8,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha3,256,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,9,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha10,256,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,10,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha10,128,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.05208333333333332,0.053097345132743334,0.05263157894736847,0.8780487804878049,0.926829268292683,2,11,False,False,False,False,,False
routecode_embedding_predicted:k2:alpha0,2,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,12,False,True,False,False,,False
routecode_embedding_predicted:k2:alpha0.01,2,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,13,False,True,False,False,,False
routecode_embedding_predicted:k2:alpha0.05,2,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,14,False,True,False,False,,False
routecode_embedding_predicted:k2:alpha0.1,2,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,15,False,True,False,False,,False
routecode_embedding_predicted:k2:alpha0.3,2,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,16,False,True,False,False,,False
routecode_embedding_predicted:k8:alpha0.05,8,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.0,0.926829268292683,0.926829268292683,0,17,False,True,False,False,,False
routecode_embedding_predicted:k8:alpha0,8,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.026548672566371726,0.026315789473684233,0.9024390243902439,0.926829268292683,1,18,False,True,False,False,,False
