query_id,split,benchmark,domain,group_method,group_id,k
aime:hybrid:1,train,aime,math,utility_state_k16,u11,16
aime:hybrid:10,train,aime,math,utility_state_k16,u11,16
aime:hybrid:11,train,aime,math,utility_state_k16,u11,16
aime:hybrid:12,train,aime,math,utility_state_k16,u00,16
aime:hybrid:13,train,aime,math,utility_state_k16,u11,16
aime:hybrid:14,train,aime,math,utility_state_k16,u00,16
aime:hybrid:15,train,aime,math,utility_state_k16,u11,16
aime:hybrid:16,train,aime,math,utility_state_k16,u00,16
aime:hybrid:17,train,aime,math,utility_state_k16,u00,16
aime:hybrid:18,train,aime,math,utility_state_k16,u00,16
aime:hybrid:19,train,aime,math,utility_state_k16,u00,16
aime:hybrid:2,train,aime,math,utility_state_k16,u00,16
aime:hybrid:20,train,aime,math,utility_state_k16,u00,16
aime:hybrid:21,train,aime,math,utility_state_k16,u00,16
aime:hybrid:22,train,aime,math,utility_state_k16,u00,16
aime:hybrid:23,train,aime,math,utility_state_k16,u00,16
aime:hybrid:24,train,aime,math,utility_state_k16,u00,16
aime:hybrid:25,train,aime,math,utility_state_k16,u11,16
aime:hybrid:26,train,aime,math,utility_state_k16,u00,16
aime:hybrid:27,train,aime,math,utility_state_k16,u00,16
aime:hybrid:28,train,aime,math,utility_state_k16,u00,16
aime:hybrid:29,train,aime,math,utility_state_k16,u00,16
aime:hybrid:3,train,aime,math,utility_state_k16,u11,16
aime:hybrid:30,train,aime,math,utility_state_k16,u00,16
aime:hybrid:31,train,aime,math,utility_state_k16,u03,16
aime:hybrid:32,train,aime,math,utility_state_k16,u00,16
aime:hybrid:33,train,aime,math,utility_state_k16,u11,16
aime:hybrid:34,train,aime,math,utility_state_k16,u00,16
aime:hybrid:35,train,aime,math,utility_state_k16,u00,16
aime:hybrid:36,train,aime,math,utility_state_k16,u11,16
aime:hybrid:37,train,aime,math,utility_state_k16,u00,16
aime:hybrid:38,train,aime,math,utility_state_k16,u00,16
aime:hybrid:39,train,aime,math,utility_state_k16,u00,16
aime:hybrid:4,train,aime,math,utility_state_k16,u11,16
aime:hybrid:40,train,aime,math,utility_state_k16,u00,16
aime:hybrid:41,train,aime,math,utility_state_k16,u00,16
aime:hybrid:42,val,aime,math,utility_state_k16,u00,16
aime:hybrid:43,val,aime,math,utility_state_k16,u00,16
aime:hybrid:44,val,aime,math,utility_state_k16,u00,16
aime:hybrid:45,val,aime,math,utility_state_k16,u00,16
aime:hybrid:46,val,aime,math,utility_state_k16,u11,16
aime:hybrid:47,val,aime,math,utility_state_k16,u11,16
aime:hybrid:48,val,aime,math,utility_state_k16,u00,16
aime:hybrid:49,val,aime,math,utility_state_k16,u11,16
aime:hybrid:5,val,aime,math,utility_state_k16,u00,16
aime:hybrid:50,val,aime,math,utility_state_k16,u00,16
aime:hybrid:51,val,aime,math,utility_state_k16,u00,16
aime:hybrid:52,val,aime,math,utility_state_k16,u11,16
aime:hybrid:53,test,aime,math,utility_state_k16,u00,16
aime:hybrid:54,test,aime,math,utility_state_k16,u00,16
aime:hybrid:55,test,aime,math,utility_state_k16,u00,16
aime:hybrid:56,test,aime,math,utility_state_k16,u00,16
aime:hybrid:57,test,aime,math,utility_state_k16,u00,16
aime:hybrid:58,test,aime,math,utility_state_k16,u00,16
aime:hybrid:59,test,aime,math,utility_state_k16,u00,16
aime:hybrid:6,test,aime,math,utility_state_k16,u00,16
aime:hybrid:60,test,aime,math,utility_state_k16,u00,16
aime:hybrid:7,test,aime,math,utility_state_k16,u00,16
aime:hybrid:8,test,aime,math,utility_state_k16,u00,16
aime:hybrid:9,test,aime,math,utility_state_k16,u11,16
bbh:test:1,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:10,train,bbh,reasoning,utility_state_k16,u13,16
bbh:test:100,train,bbh,reasoning,utility_state_k16,u15,16
bbh:test:11,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:12,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:13,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:14,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:15,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:16,train,bbh,reasoning,utility_state_k16,u10,16
bbh:test:17,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:18,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:19,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:2,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:20,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:21,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:22,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:23,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:24,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:25,train,bbh,reasoning,utility_state_k16,u03,16
bbh:test:26,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:27,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:28,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:29,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:3,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:30,train,bbh,reasoning,utility_state_k16,u15,16
bbh:test:31,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:32,train,bbh,reasoning,utility_state_k16,u15,16
bbh:test:33,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:34,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:35,train,bbh,reasoning,utility_state_k16,u15,16
bbh:test:36,train,bbh,reasoning,utility_state_k16,u14,16
bbh:test:37,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:38,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:39,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:4,train,bbh,reasoning,utility_state_k16,u07,16
bbh:test:40,train,bbh,reasoning,utility_state_k16,u01,16
bbh:test:5,train,bbh,reasoning,utility_state_k16,u09,16
bbh:test:6,train,bbh,reasoning,utility_state_k16,u03,16
bbh:test:7,val,bbh,reasoning,utility_state_k16,u01,16
bbh:test:8,val,bbh,reasoning,utility_state_k16,u01,16
bbh:test:81,test,bbh,reasoning,utility_state_k16,u13,16
bbh:test:82,test,bbh,reasoning,utility_state_k16,u10,16
bbh:test:83,test,bbh,reasoning,utility_state_k16,u12,16
