k,split,feature,mean_value,eta_squared,n_queries,n_states
16,all,local_all_agree,0.14127764127764128,0.7475330834978157,814,16
16,all,small_medium_agree,0.28746928746928746,0.6696683774417037,814,16
16,all,small_medium_disagree,0.7125307125307125,0.6696683774417037,814,16
16,all,q4_q14_agree,0.28746928746928746,0.6696683774417037,814,16
16,all,q8_q14_agree,0.25675675675675674,0.6563870994330887,814,16
16,all,local_vote_margin,0.3627354627354627,0.6522187429321892,814,16
16,all,local_vote_entropy,1.2732808866908925,0.6035962557666004,814,16
16,all,local_vote_frac,0.5804258804258805,0.6002761937232094,814,16
16,all,local_unique_answer_count,2.9226044226044228,0.5292666814194896,814,16
16,all,q14_q32_agree,0.5085995085995086,0.5134017224890696,814,16
16,all,medium_unique_answer_count,1.4914004914004915,0.5134017224890695,814,16
16,all,small_unique_answer_count,1.520884520884521,0.47659558910929656,814,16
16,all,q4_q8_agree,0.47911547911547914,0.4765955891092965,814,16
16,all,q32_sc_agree,0.5073710073710074,0.27681343779078826,814,16
16,all,sc_vote_margin,0.6416871416871416,0.27498903370739225,814,16
16,all,sc_vote_entropy,0.5281730551990813,0.2703322053589883,814,16
16,all,sc_vote_frac,0.7919737919737919,0.2648352160772082,814,16
16,all,sc_all_samples_agree,0.5491400491400491,0.2597839463500252,814,16
16,all,local_valid_count,5.11056511056511,0.2512908770566122,814,16
16,all,local_missing_count,0.8894348894348895,0.251290877056612,814,16
16,all,q4_lp_logprob_mean,-0.027432563796606826,0.13975246836124594,814,16
16,all,q4_lp_logprob_min,-0.23608422626143993,0.13391801440792042,814,16
16,all,q4_lp_logprob_margin_mean,4.591364882704057,0.08587016490737562,814,16
16,all,q4_lp_logprob_first_token_margin,2.470055274010177,0.05239479582434754,814,16
16,all,q4_lp_logprob_margin_min,0.18765356264555375,0.041172389976134996,814,16
16,all,small_valid_count,2.0,0.0,814,16
16,all,medium_valid_count,2.0,0.0,814,16
16,train,local_all_agree,0.1565040650406504,0.7893505999247208,492,16
16,train,q8_q14_agree,0.2682926829268293,0.7216950626967898,492,16
16,train,small_medium_agree,0.2886178861788618,0.7136018225584745,492,16
16,train,small_medium_disagree,0.7113821138211383,0.7136018225584745,492,16
16,train,q4_q14_agree,0.2886178861788618,0.7136018225584745,492,16
16,train,local_vote_margin,0.38042005420054203,0.6634443435091093,492,16
16,train,local_vote_entropy,1.2299947172957193,0.6142415623398336,492,16
16,train,local_vote_frac,0.5947831978319783,0.6066115710816227,492,16
16,train,q14_q32_agree,0.516260162601626,0.5505288356183722,492,16
16,train,medium_unique_answer_count,1.483739837398374,0.5505288356183721,492,16
16,train,local_unique_answer_count,2.8434959349593494,0.5357004930726981,492,16
16,train,small_unique_answer_count,1.5060975609756098,0.5049025526038298,492,16
16,train,q4_q8_agree,0.49390243902439024,0.5049025526038298,492,16
16,train,q32_sc_agree,0.5426829268292683,0.2774064387383743,492,16
16,train,sc_vote_margin,0.6436314363143631,0.27524005855140016,492,16
16,train,sc_all_samples_agree,0.5508130081300813,0.2689253215525675,492,16
16,train,sc_vote_entropy,0.5246714772891922,0.2678578584491844,492,16
16,train,sc_vote_frac,0.7933604336043361,0.26038019805391166,492,16
16,train,local_missing_count,0.9044715447154471,0.2278938289661675,492,16
16,train,local_valid_count,5.095528455284553,0.22789382896616747,492,16
16,train,q4_lp_logprob_min,-0.22786465991947163,0.13929963225562042,492,16
16,train,q4_lp_logprob_mean,-0.0269803622911425,0.13761932762158136,492,16
16,train,q4_lp_logprob_margin_mean,4.602177657615234,0.0871923444204521,492,16
16,train,q4_lp_logprob_first_token_margin,2.5058434933645324,0.05362643319852995,492,16
16,train,q4_lp_logprob_margin_min,0.20248983674152657,0.04923939612904019,492,16
16,train,small_valid_count,2.0,0.0,492,16
16,train,medium_valid_count,2.0,0.0,492,16
24,all,local_all_agree,0.14127764127764128,0.7549995236356624,814,24
24,all,small_medium_disagree,0.7125307125307125,0.722601552914221,814,24
24,all,small_medium_agree,0.28746928746928746,0.7226015529142209,814,24
24,all,q4_q14_agree,0.28746928746928746,0.7226015529142209,814,24
24,all,q8_q14_agree,0.25675675675675674,0.7153277523262459,814,24
24,all,local_vote_margin,0.3627354627354627,0.6646475741159917,814,24
24,all,local_vote_entropy,1.2732808866908925,0.6157596799992733,814,24
24,all,local_vote_frac,0.5804258804258805,0.6145430799193394,814,24
