scenario,scenario_type,rate_log2K_to_80pct_learned_gain,best_routecode_predicted_recovered_gap_vs_learned,best_routecode_predicted_recovered_gap_vs_oracle
random,random,,0.0,0.0
leave_dataset_out:aime,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:arcc,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:bbh,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:emorynlp,leave_one_dataset_out,,6.448545401364453e-15,1.4938715215516103e-16
leave_dataset_out:finqa,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:gpqa,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:humaneval,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:kandk,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:korbench,leave_one_dataset_out,,0.0,0.1
leave_dataset_out:livecodebench,leave_one_dataset_out,,0.0,0.0072463768115942
leave_dataset_out:livemathbench,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:math500,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:mathbench,leave_one_dataset_out,,0.0,0.4285714285714292
leave_dataset_out:mbpp,leave_one_dataset_out,5.0,2.8333333333333184,0.0447368421052631
leave_dataset_out:medqa,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:meld,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:mmlupro,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:winogrande,leave_one_dataset_out,,0.0,0.0
leave_domain_out:broad_knowledge,leave_one_domain_out,,0.0,0.0
domain_homogeneous:broad_knowledge,domain_homogeneous,,0.0,0.0869565217391304
leave_domain_out:code,leave_one_domain_out,,0.0,0.0
domain_homogeneous:code,domain_homogeneous,,0.0714285714285739,0.0100000000000003
leave_domain_out:commonsense_reasoning,leave_one_domain_out,,0.0,0.0
domain_homogeneous:commonsense_reasoning,domain_homogeneous,,0.0,0.0
leave_domain_out:dialogue,leave_one_domain_out,,0.0,1.5863853440755012e-16
domain_homogeneous:dialogue,domain_homogeneous,,0.0,0.0152671755725191
leave_domain_out:finance,leave_one_domain_out,,0.0,0.0
domain_homogeneous:finance,domain_homogeneous,,0.0,0.0
leave_domain_out:logical_reasoning,leave_one_domain_out,,0.0,0.0
domain_homogeneous:logical_reasoning,domain_homogeneous,,0.0,0.0
leave_domain_out:math,leave_one_domain_out,,0.0,0.0
domain_homogeneous:math,domain_homogeneous,,0.0,0.0
leave_domain_out:medicine,leave_one_domain_out,,0.0,0.0
domain_homogeneous:medicine,domain_homogeneous,,0.0,0.0999999999999998
leave_domain_out:multilingual,leave_one_domain_out,,0.0,0.1
domain_homogeneous:multilingual,domain_homogeneous,,0.1666666666666666,0.0217391304347826
leave_domain_out:reasoning,leave_one_domain_out,,0.0,0.0
domain_homogeneous:reasoning,domain_homogeneous,,0.500000000000003,0.0740740740740744
leave_domain_out:science,leave_one_domain_out,,0.0,0.0
domain_homogeneous:science,domain_homogeneous,,0.0,1.3226135162925785e-15
cluster_held_out:0,cluster_held_out,,0.0,0.0
cluster_held_out:1,cluster_held_out,,0.0,0.0
cluster_held_out:2,cluster_held_out,,0.0,0.0
cluster_held_out:3,cluster_held_out,,0.0,0.0
model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,,0.0,0.0
model_pool_holdout:DeepSeek-R1-0528-Qwen3-8B,model_pool_holdout,,0.0,0.0
model_pool_holdout:DeepSeek-R1-Distill-Qwen-7B,model_pool_holdout,,0.0,0.0
model_pool_holdout:Fin-R1,model_pool_holdout,,0.0,0.0
model_pool_holdout:GLM-Z1-9B-0414,model_pool_holdout,,0.0,0.0
model_pool_holdout:Intern-S1-mini,model_pool_holdout,,0.0,0.0
model_pool_holdout:Llama-3.1-8B-Instruct,model_pool_holdout,,0.0,0.0
model_pool_holdout:Llama-3.1-8B-UltraMedical,model_pool_holdout,,0.0,0.0
model_pool_holdout:Llama-3.1-Nemotron-Nano-8B-v1,model_pool_holdout,,0.0,0.0
model_pool_holdout:MiMo-7B-RL-0530,model_pool_holdout,,0.0,0.0
model_pool_holdout:MiniCPM4.1-8B,model_pool_holdout,,0.0,0.0
model_pool_holdout:NVIDIA-Nemotron-Nano-9B-v2,model_pool_holdout,,0.0,0.0
model_pool_holdout:OpenThinker3-7B,model_pool_holdout,,0.0,0.0
model_pool_holdout:Qwen2.5-Coder-7B-Instruct,model_pool_holdout,,0.0,0.0
model_pool_holdout:Qwen3-8B,model_pool_holdout,,0.47674418604651114,0.05882352941176478
model_pool_holdout:cogito-v1-preview-llama-8B,model_pool_holdout,,0.0,0.0
model_pool_holdout:gemma-2-9b-it,model_pool_holdout,,0.0,0.0
model_pool_holdout:glm-4-9b-chat,model_pool_holdout,,0.0,0.0
model_pool_holdout:granite-3.3-8b-instruct,model_pool_holdout,,0.0,0.0
model_pool_holdout:internlm3-8b-instruct,model_pool_holdout,,0.0,0.0
