query_id,view,min_leaf,predictor,true_state,predicted_state,confidence
gsm8k:test:9,probe_only,5,random_forest,z00,z00,0.8940213428862209
gsm8k:test:81,probe_only,5,random_forest,z01,z01,0.9017099342388581
gsm8k:test:82,probe_only,5,random_forest,z01,z01,0.9457912063534257
gsm8k:test:83,probe_only,5,random_forest,z01,z01,0.9764736808705008
gsm8k:test:84,probe_only,5,random_forest,z01,z01,0.9777070937152371
gsm8k:test:85,probe_only,5,random_forest,z01,z01,0.9172378046230805
gsm8k:test:86,probe_only,5,random_forest,z00,z00,0.7434680394393874
gsm8k:test:87,probe_only,5,random_forest,z00,z00,0.9861338104889429
gsm8k:test:88,probe_only,5,random_forest,z01,z01,0.989057476638025
gsm8k:test:89,probe_only,5,random_forest,z00,z00,0.9711550308887049
gsm8k:test:90,probe_only,5,random_forest,z00,z00,0.9702623880855884
gsm8k:test:91,probe_only,5,random_forest,z01,z01,0.9270274230957812
gsm8k:test:92,probe_only,5,random_forest,z00,z00,0.8162803927104977
gsm8k:test:93,probe_only,5,random_forest,z00,z00,0.9763801037029511
gsm8k:test:94,probe_only,5,random_forest,z00,z00,0.46735089962461435
gsm8k:test:95,probe_only,5,random_forest,z00,z00,0.9918012088513816
gsm8k:test:96,probe_only,5,random_forest,z01,z01,0.9226422331154284
gsm8k:test:97,probe_only,5,random_forest,z00,z00,0.7355156652554321
gsm8k:test:98,probe_only,5,random_forest,z00,z00,0.4559952227226096
gsm8k:test:99,probe_only,5,random_forest,z00,z00,0.9563440200423686
math500:test:9,probe_only,5,random_forest,z00,z00,0.4910389009908432
math500:test:81,probe_only,5,random_forest,z06,z06,0.9894207735504942
math500:test:82,probe_only,5,random_forest,z06,z06,0.9412424190740125
math500:test:83,probe_only,5,random_forest,z06,z06,0.9640027163783028
math500:test:84,probe_only,5,random_forest,z06,z06,0.8963247330408046
math500:test:85,probe_only,5,random_forest,z06,z06,0.9120467585123464
math500:test:86,probe_only,5,random_forest,z06,z06,0.8879754085378534
math500:test:87,probe_only,5,random_forest,z01,z01,0.985479230171396
math500:test:88,probe_only,5,random_forest,z06,z06,0.932416750016355
math500:test:89,probe_only,5,random_forest,z06,z06,0.7238812591116606
math500:test:90,probe_only,5,random_forest,z06,z06,0.8705539687958965
math500:test:91,probe_only,5,random_forest,z00,z00,0.8981799049453414
math500:test:92,probe_only,5,random_forest,z06,z06,0.6923243634152563
math500:test:93,probe_only,5,random_forest,z05,z06,0.49594545919081146
math500:test:94,probe_only,5,random_forest,z06,z06,0.9757829521781339
math500:test:95,probe_only,5,random_forest,z06,z06,0.8671723552511812
math500:test:96,probe_only,5,random_forest,z06,z06,0.8873194114199678
math500:test:97,probe_only,5,random_forest,z06,z06,0.9269917560626343
math500:test:98,probe_only,5,random_forest,z00,z03,0.4309436035140461
math500:test:99,probe_only,5,random_forest,z01,z01,0.9918391674586153
