claim_id,status,evidence,caveat
final_main_broad100_oracle_level,supported_on_cached_broad100,quality_gap=0.0174;utility_ratio=0.9735;frontier_rate=0.1919,Cache-backed Broad100 final-eval pass; no live provider calls.
final_literature_baseline_coverage,complete,pending_or_not_included=0;total=3,RouteLLM and Avengers-Pro use cached Broad100 adapters; GraphRouter slot uses the documented LLMRouter kNN fallback.
states_as_calibration_strata,not_supported_on_cached_broad100,best_routecode_test_variance=0.1697;best_label_or_text_variance=0.1596,Uses cached Broad100 outcomes; utility-cluster rows are diagnostic and not deployable.
state_calibration_new_model_onboarding,not_supported_on_cached_broad100,budget=640;active_utility=0.6723;random_utility=0.6723,"Simulated held-out model/action onboarding from cached outcomes, not live deployment."
frozen_state_vs_direct_retrain_proxy,table_generated,rows=42,Direct retraining baseline is a probe-feature utility-regressor proxy.
state_action_table_price_adaptation,table_generated,rows=240,Price changes are simulated by scaling cached frontier costs.
final_ablation_coverage,table_generated,rows=11,Ablation table consolidates cached Broad100 result rows and simulated onboarding rows.
real_local_frontier_new_model_calibration,partial_local_live_only,local_success_rows=2;frontier_blocked_rows=2;best_live_local_quality=0.0450,Local vLLM smoke/live artifacts exist; GPT/Gemini live calls were not made without provider keys and budget approval.
predicted_states_as_calibration_strata,supported_on_cached_broad100,selected=predicted_utility_state_rf_probe_only_k24;test_variance=0.1308;best_label_or_text=0.1596,State predictor is trained on Broad100 train outcomes and observable cached probe features; no fresh model calls.
active_acquisition_advantage,weakly_supported_on_cached_broad100,selected=predicted_utility_state_rf_probe_plus_benchmark_k6;budget=320;active=0.6953;random=0.6945;uniform=0.6909;margin=0.0008,Simulated held-out-model onboarding from cached outcomes; active uses acquired train labels only.
predicted_state_new_model_onboarding,supported_on_cached_broad100,selected=predicted_utility_state_rf_probe_plus_benchmark_k6;budget=320;best_state=0.6953;direct_retrain_proxy=0.6658;state_minus_direct=0.0295,"This supports state-based calibration, not a strong active-acquisition superiority claim."
live_predicted_states_as_calibration_strata,supported_on_live_broad100_stage0,selected=predicted_utility_state_rf_probe_plus_benchmark_k16;test_variance=0.1366;best_label_or_text=0.1666,"Uses live/cached Stage0 GPT, Gemini, and local vLLM outcomes; state predictor uses cached observable probe features."
live_predicted_state_new_model_onboarding,weakly_supported_on_live_broad100_stage0,selected=predicted_utility_state_rf_probe_plus_benchmark_k6;budget=320;best_state=0.5656;direct_retrain_proxy=0.5644;state_minus_direct=0.0012,Supports state-based calibration on the live Stage0 matrix; not a proof of active acquisition superiority.
live_active_acquisition_advantage,weakly_supported_on_live_broad100_stage0,selected=predicted_utility_state_rf_probe_plus_benchmark_k6;budget=320;active=0.5656;random=0.5640;uniform=0.5650;margin=0.0006,Active acquisition is evaluated separately from whether states are good calibration strata.
live_frontier_active_onboarding_low_budget,supported_on_live_broad100_stage0,"validation_selected_budget=40;test_active=0.5627;test_best_competitor=0.5510;margin=0.0117;heldout_models=gpt-5.5,gemini-3.5-flash","This is a frontier-model onboarding slice, not an all-model average claim."
live_frontier_budget_efficiency,supported_on_live_broad100_stage0,active_budget=40;direct_eval_reduction_lower_bound=8.0x;random_eval_reduction_lower_bound=8.0x;target_active_utility=0.5627,Budget efficiency is measured on the validation-selected GPT/Gemini frontier slice.
phase3_broad100_current_best_oracle_level_target,supported,quality_gap=0.0174;utility_ratio=0.9735;frontier_rate=0.1919,Depends on learned verifiability and verifiable local/tool actions.
phase3_broad100_routecode_state_policy_target,supported_with_lower_utility,quality_gap=0.0233;utility_ratio=0.9614;frontier_rate=0.2384,Still contains tool-style behavior and is below the current-best utility.
phase3_no_tool_full_oracle_target,not_supported_feasibility_bound,no_tool_oracle_quality_gap_to_full=0.0465;no_tool_oracle_utility_ratio_to_full=0.9338,Even the no-tool oracle misses the full-oracle target; action-pool improvement is required.
phase3_exact_math_controlled_targets,supported,quality_gap=0.0152;utility_ratio=0.9739;frontier_rate=0.1061;normalized_remote_cost=0.0463;p95_latency_ratio_vs_all_gpt=0.4799,Exact-math result relies heavily on deterministic verifiable local/tool actions.
phase3_state_level_new_model_calibration,supported_on_cached_exact_math,active_evals=4;active_quality=0.8485;direct_best_quality=0.7273,Only one target-model calibration setting is currently packaged.
phase3_budget_and_model_constraints,supported,top_level_max_model_cost=4.9765;broad_stage0_max_model_cost=0.2512,"Cost rows are for cached/recorded experiment artifacts, not a future expanded run."
phase3_controlled_verifiability_action_pool_scope,supported,broad100_quality_gap=0.0174;broad100_utility_ratio=0.9735;exact_quality_gap=0.0152;active_evals=4;top_level_max_model_cost=4.9765,This does not imply a clean no-tool SOTA router; the no-tool feasibility bound is reported separately as a negative diagnostic.
