method,split,state_method,predictor,k,policy_kind,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_total_usd,frontier_call_rate,mean_latency_s,confidence_threshold,active_probe_rate,selected_models_json
relative_kmeans_k16_diagnostic_true_state,test,relative_kmeans,oracle_state,16,diagnostic_true_state,170,0.7529411764705882,0.7294568665959476,0.7316353287183842,0.002178462122436664,0.9970224754916459,0.0822585,0.17647058823529413,1.755976474986357,,0.0,"{""gemini-3.5-flash"": 20, ""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 80, ""qwen3-32b-awq-local"": 17, ""qwen3-4b-local"": 20, ""qwen3-8b-local"": 23}"
relative_kmeans_k4_diagnostic_true_state,test,relative_kmeans,oracle_state,4,diagnostic_true_state,170,0.711764705882353,0.6716142543275583,0.7316353287183842,0.060021074390825935,0.9179631272098824,0.140635,0.15294117647058825,1.670730032640345,,0.0,"{""gpt-5.5"": 26, ""qwen3-14b-awq-local"": 87, ""qwen3-4b-local"": 57}"
relative_kmeans_k8_diagnostic_true_state,test,relative_kmeans,oracle_state,8,diagnostic_true_state,170,0.6764705882352942,0.6537108621843537,0.7316353287183842,0.07792446653403051,0.8934927504518789,0.0797205,0.21764705882352942,1.573710194756003,,0.0,"{""gemini-3.5-flash"": 27, ""gpt-5.5"": 10, ""qwen3-14b-awq-local"": 88, ""qwen3-32b-awq-local"": 25, ""qwen3-4b-local"": 20}"
relative_kmeans_k2_text_cnn_active_state_reveal,test,relative_kmeans,text_cnn,2,diagnostic_active_state_reveal,170,0.6176470588235294,0.6028132177661126,0.7316353287183842,0.12882211095227158,0.8239257921320844,0.0519585,0.6470588235294118,3.119500599187963,0.93,0.21764705882352942,"{""gemini-3.5-flash"": 110, ""qwen3-32b-awq-local"": 60}"
relative_kmeans_k2_text_cnn_lowconf_fallback,test,relative_kmeans,text_cnn,2,low_confidence_fallback,170,0.611764705882353,0.6002951263609814,0.7316353287183842,0.13134020235740285,0.8204840619335957,0.0401745,0.5294117647058824,2.565773545994478,0.93,0.21764705882352942,"{""gemini-3.5-flash"": 90, ""qwen3-32b-awq-local"": 80}"
relative_kmeans_k2_diagnostic_true_state,test,relative_kmeans,oracle_state,2,diagnostic_true_state,170,0.611764705882353,0.5996668967691562,0.7316353287183842,0.13196843194922803,0.8196253970124721,0.042374999999999996,0.5647058823529412,2.882667098325842,,0.0,"{""gemini-3.5-flash"": 96, ""qwen3-32b-awq-local"": 74}"
relative_kmeans_k2_text_cnn_plain,test,relative_kmeans,text_cnn,2,plain_predicted_state,170,0.6,0.5855648513420305,0.7316353287183842,0.1460704773763537,0.8003507052724923,0.050561999999999996,0.6352941176470588,3.0307205354466156,0.93,0.0,"{""gemini-3.5-flash"": 108, ""qwen3-32b-awq-local"": 62}"
relative_kmeans_k8_text_cnn_active_state_reveal,test,relative_kmeans,text_cnn,8,diagnostic_active_state_reveal,170,0.5823529411764706,0.5644603171848052,0.7316353287183842,0.16717501153357905,0.7715050039663587,0.06267249999999999,0.22941176470588234,1.5213336383595186,0.56,0.25882352941176473,"{""gemini-3.5-flash"": 32, ""gpt-5.5"": 7, ""qwen3-14b-awq-local"": 76, ""qwen3-32b-awq-local"": 34, ""qwen3-4b-local"": 21}"
relative_kmeans_k4_text_cnn_active_state_reveal,test,relative_kmeans,text_cnn,4,diagnostic_active_state_reveal,170,0.5882352941176471,0.5593732761282989,0.7316353287183842,0.1722620525900853,0.7645520304605313,0.10109500000000002,0.1,1.3214965048958274,0.72,0.24705882352941178,"{""gpt-5.5"": 17, ""qwen3-14b-awq-local"": 98, ""qwen3-4b-local"": 55}"
relative_kmeans_k16_text_cnn_active_state_reveal,test,relative_kmeans,text_cnn,16,diagnostic_active_state_reveal,170,0.5647058823529412,0.5540755125044484,0.7316353287183842,0.1775598162139358,0.7573110411098247,0.037235000000000004,0.047058823529411764,1.1784933454850142,0.47000000000000003,0.24705882352941178,"{""gemini-3.5-flash"": 3, ""gpt-5.5"": 5, ""qwen3-14b-awq-local"": 87, ""qwen3-32b-awq-local"": 36, ""qwen3-4b-local"": 14, ""qwen3-8b-local"": 25}"
relative_kmeans_k4_text_cnn_lowconf_fallback,test,relative_kmeans,text_cnn,4,low_confidence_fallback,170,0.5352941176470588,0.5236873582488991,0.7316353287183842,0.2079479704694851,0.7157764772871883,0.040655000000000004,0.041176470588235294,1.249277938113493,0.72,0.24705882352941178,"{""gpt-5.5"": 7, ""qwen3-14b-awq-local"": 74, ""qwen3-32b-awq-local"": 42, ""qwen3-4b-local"": 47}"
relative_kmeans_k8_text_cnn_lowconf_fallback,test,relative_kmeans,text_cnn,8,low_confidence_fallback,170,0.5294117647058824,0.5230779371169544,0.7316353287183842,0.20855739160142983,0.7149435197904361,0.0221855,0.16470588235294117,1.4148389718111825,0.56,0.25882352941176473,"{""gemini-3.5-flash"": 26, ""gpt-5.5"": 2, ""qwen3-14b-awq-local"": 57, ""qwen3-32b-awq-local"": 66, ""qwen3-4b-local"": 19}"
