method,method_role,baseline,split,query_id,benchmark,model_id
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:42,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:43,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:44,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:45,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:46,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:47,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:48,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:49,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:5,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:50,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:51,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,aime:hybrid:52,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:63,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:64,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:65,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:66,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:67,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:68,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:69,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:7,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:70,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:71,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:72,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:73,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:74,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:75,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:76,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:77,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:78,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:79,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:8,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,bbh:test:80,bbh,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:63,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:64,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:65,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:66,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:67,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:68,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:69,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:7,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:70,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:71,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:72,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:73,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:74,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:75,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:76,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:77,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:78,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:79,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:8,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gpqa:test:80,gpqa,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:63,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:64,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:65,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:66,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:67,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:68,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:69,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:7,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:70,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:71,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:72,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:73,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:74,gsm8k,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:75,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:76,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:77,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:78,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:79,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:8,gsm8k,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,gsm8k:test:80,gsm8k,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:63,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:64,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:65,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:66,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:67,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:68,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:69,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:7,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:70,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:71,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:72,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:73,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:74,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:75,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:76,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:77,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:78,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:79,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:8,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,humaneval:test:80,humaneval,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:63,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:64,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:65,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:66,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:67,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:68,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:69,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:7,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:70,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:71,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:72,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:73,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:74,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:75,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:76,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:77,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:78,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:79,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:8,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,livemathbench:test:80,livemathbench,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:63,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:64,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:65,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:66,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:67,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:68,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:69,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:7,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:70,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:71,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:72,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:73,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:74,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:75,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:76,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:77,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:78,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:79,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:8,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,math500:test:80,math500,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:63,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:64,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:65,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:66,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:67,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:68,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:69,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:7,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:70,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:71,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:72,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:73,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:74,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:75,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:76,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:77,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:78,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:79,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:8,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mbpp:test:80,mbpp,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:63,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:64,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:65,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:66,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:67,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:68,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:69,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:7,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:70,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:71,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:72,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:73,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:74,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:75,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:76,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:77,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:78,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:79,mmlupro,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:8,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,val,mmlupro:test_1000:80,mmlupro,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,test,aime:hybrid:53,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,test,aime:hybrid:54,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,test,aime:hybrid:55,aime,qwen3-32b-awq-local
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,test,aime:hybrid:56,aime,gemini-3.5-flash-strong-solve
routellm_pairwise_mf_adapter,literature_baseline,routellm_mf,test,aime:hybrid:57,aime,gemini-3.5-flash-strong-solve
