query_id,group_id,split,benchmark,domain,state_method,k,assignment_kind
aime:hybrid:1,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:10,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:11,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:12,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:13,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:14,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:15,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:16,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:17,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:18,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:19,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:2,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:20,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:21,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:22,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:23,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:24,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:25,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:26,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:27,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:28,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:29,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:3,z11,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:30,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:31,z03,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:32,z00,train,aime,math,raw_kmeans,16,utility_state_label
aime:hybrid:33,z11,train,aime,math,raw_kmeans,16,utility_state_label
