method,method_role,lambda_cost,frontier_price_multiplier,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_per_1k_queries,mean_normalized_cost,frontier_call_rate,selected_actions_json
cost_aware_oracle,oracle,0.0,0.5,172,0.872093023255814,0.872093023255814,0.872093023255814,0.0,1.0,0.5178284883720922,0.0718065122608773,0.1802325581395348,"{""deterministic_math_tool"": 8, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 20, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.0,0.5,172,0.7790697674418605,0.7790697674418605,0.872093023255814,0.0930232558139534,0.8933333333333334,2.372460755813952,0.3289856316835001,0.9186046511627908,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""gpt-5.5"": 63}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.0,0.5,172,0.6976744186046512,0.6976744186046512,0.872093023255814,0.1744186046511627,0.8,2.31733430232558,0.3213413277349944,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.0,0.5,172,0.5930232558139535,0.5930232558139535,0.872093023255814,0.2790697674418604,0.68,3.769927325581396,0.5227702585039278,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.0,0.5,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.0,0.5,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.0,0.5,172,0.4651162790697674,0.4651162790697674,0.872093023255814,0.4069767441860465,0.5333333333333333,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.0,0.5,172,0.4011627906976744,0.4011627906976744,0.872093023255814,0.4709302325581395,0.46,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.0,0.5,170,0.3529411764705882,0.3529411764705882,0.872093023255814,0.5191518467852256,0.4047058823529412,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.0,0.5,172,0.3430232558139535,0.3430232558139535,0.872093023255814,0.5290697674418605,0.3933333333333333,0.2753808139534884,0.0381866510583955,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.0,0.5,172,0.2616279069767442,0.2616279069767442,0.872093023255814,0.6104651162790697,0.3,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.0,0.5,172,0.0930232558139534,0.0930232558139534,0.872093023255814,0.7790697674418605,0.1066666666666666,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.0,1.0,172,0.872093023255814,0.872093023255814,0.872093023255814,0.0,1.0,1.0356569767441843,0.1436130245217546,0.1802325581395348,"{""deterministic_math_tool"": 8, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 20, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.0,1.0,172,0.7790697674418605,0.7790697674418605,0.872093023255814,0.0930232558139534,0.8933333333333334,4.744921511627904,0.6579712633670003,0.9186046511627908,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""gpt-5.5"": 63}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.0,1.0,172,0.6976744186046512,0.6976744186046512,0.872093023255814,0.1744186046511627,0.8,4.63466860465116,0.6426826554699889,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.0,1.0,172,0.5930232558139535,0.5930232558139535,0.872093023255814,0.2790697674418604,0.68,7.539854651162791,1.0455405170078556,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.0,1.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.0,1.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.0,1.0,172,0.4651162790697674,0.4651162790697674,0.872093023255814,0.4069767441860465,0.5333333333333333,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.0,1.0,172,0.4011627906976744,0.4011627906976744,0.872093023255814,0.4709302325581395,0.46,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.0,1.0,170,0.3529411764705882,0.3529411764705882,0.872093023255814,0.5191518467852256,0.4047058823529412,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.0,1.0,172,0.3430232558139535,0.3430232558139535,0.872093023255814,0.5290697674418605,0.3933333333333333,0.5507616279069768,0.0763733021167911,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.0,1.0,172,0.2616279069767442,0.2616279069767442,0.872093023255814,0.6104651162790697,0.3,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.0,1.0,172,0.0930232558139534,0.0930232558139534,0.872093023255814,0.7790697674418605,0.1066666666666666,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
