state_method,k,state_label,n_queries,best_model,best_utility,second_model,margin,mean_utility_variance,top_benchmark,top_benchmark_frac,top_domain,top_domain_frac
raw_kmeans,16,z00,182,qwen3-8b-local,0.027777777777777776,qwen3-4b-local,0.009259259259259259,0.016097431492526928,aime,0.24175824175824176,math,0.5384615384615384
raw_kmeans,16,z01,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
raw_kmeans,16,z02,81,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.052713248491601715,mmlupro,0.345679012345679,code,0.4567901234567901
raw_kmeans,16,z03,40,gemini-3.5-flash,0.986849496571692,gpt-5.5,0.30280184443795566,0.039417675059994696,math500,0.5,math,0.725
raw_kmeans,16,z04,63,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.006120441031643546,humaneval,0.7142857142857143,code,0.873015873015873
raw_kmeans,16,z05,45,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.041111039414965946,gsm8k,0.7333333333333333,math_easy,0.7333333333333333
raw_kmeans,16,z06,37,qwen3-14b-awq-local,1.0,gpt-5.5,0.8559653586677501,0.06690083899612256,mmlupro,0.3783783783783784,broad_knowledge,0.3783783783783784
raw_kmeans,16,z07,41,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.01876728783458369,bbh,0.5609756097560976,reasoning,0.5609756097560976
raw_kmeans,16,z08,41,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.0357142857142857,0.08909636823929436,humaneval,0.2926829268292683,code,0.5853658536585366
raw_kmeans,16,z09,39,qwen3-32b-awq-local,1.0,qwen3-4b-local,0.96,0.07929538749737294,gpqa,0.41025641025641024,science,0.41025641025641024
raw_kmeans,16,z10,33,qwen3-32b-awq-local,1.0,gemini-3.5-flash,0.03662881792852091,0.047776684983507615,mbpp,0.3939393939393939,code,0.5151515151515151
raw_kmeans,16,z11,64,gpt-5.5,0.5993448291626546,qwen3-4b-local,0.5405212997508899,0.016420260787230655,livemathbench,0.40625,math,0.84375
raw_kmeans,16,z12,29,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.029979630836867915,mbpp,0.4482758620689655,code,0.7241379310344828
raw_kmeans,16,z13,20,qwen3-8b-local,1.0,qwen3-32b-awq-local,0.0,0.013013669224610273,gsm8k,0.4,math_easy,0.4
raw_kmeans,16,z14,16,qwen3-8b-local,1.0,gemini-3.5-flash,0.012448966758252467,0.12053455544810009,gsm8k,0.625,math_easy,0.625
raw_kmeans,16,z15,23,qwen3-4b-local,1.0,gemini-3.5-flash,0.01319972681494519,0.0643898525125051,gsm8k,0.4782608695652174,math_easy,0.4782608695652174
relative_kmeans,16,z00,56,qwen3-8b-local,1.0,gemini-3.5-flash,0.07358849853430594,0.07432360027424657,gsm8k,0.7321428571428571,math_easy,0.7321428571428571
relative_kmeans,16,z01,57,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.20588235294117652,0.03056897995089092,mbpp,0.45614035087719296,code,0.6842105263157895
relative_kmeans,16,z02,37,gemini-3.5-flash,0.9861868062717992,gpt-5.5,0.5418686684288364,0.05734206225863586,math500,0.4594594594594595,math,0.7027027027027027
relative_kmeans,16,z03,168,qwen3-32b-awq-local,0.0,qwen3-14b-awq-local,0.0,0.0025663170947468417,aime,0.25595238095238093,math,0.5535714285714286
relative_kmeans,16,z04,28,qwen3-4b-local,1.0,gemini-3.5-flash,0.2613872858699998,0.1205457180202661,gsm8k,0.35714285714285715,math_easy,0.35714285714285715
relative_kmeans,16,z05,54,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.1428571428571429,0.14140006481797138,humaneval,0.24074074074074073,code,0.46296296296296297
relative_kmeans,16,z06,64,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.02469937471716628,humaneval,0.703125,code,0.859375
relative_kmeans,16,z07,59,gpt-5.5,0.6027963137266651,qwen3-14b-awq-local,0.6027963137266651,0.0020025083300822546,livemathbench,0.4067796610169492,math,0.8813559322033898
relative_kmeans,16,z08,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
relative_kmeans,16,z09,25,qwen3-32b-awq-local,1.0,qwen3-4b-local,0.9444444444444444,0.029939778040427623,gpqa,0.56,science,0.56
relative_kmeans,16,z10,16,qwen3-14b-awq-local,1.0,gpt-5.5,0.3510220353959469,0.0029764874137233107,math500,0.25,math,0.375
relative_kmeans,16,z11,33,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.0635106496488178,gsm8k,0.36363636363636365,math_easy,0.36363636363636365
relative_kmeans,16,z12,21,qwen3-14b-awq-local,1.0,qwen3-4b-local,0.9090909090909091,0.020613958204283012,mmlupro,0.47619047619047616,broad_knowledge,0.47619047619047616
relative_kmeans,16,z13,40,gemini-3.5-flash,0.966447486552378,qwen3-32b-awq-local,0.086447486552378,0.061175494966215604,mbpp,0.325,code,0.425
relative_kmeans,16,z14,54,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0406820466654784,bbh,0.42592592592592593,reasoning,0.42592592592592593
relative_kmeans,16,z15,42,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.02265434617100286,mmlupro,0.5714285714285714,broad_knowledge,0.5714285714285714
two_stage_relative_kmeans,16,z00,55,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.05878415445528634,gsm8k,0.7090909090909091,math_easy,0.7090909090909091
two_stage_relative_kmeans,16,z01,168,qwen3-32b-awq-local,0.0,qwen3-14b-awq-local,0.0,0.0025663170947468417,aime,0.25595238095238093,math,0.5535714285714286
two_stage_relative_kmeans,16,z02,62,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.006120441031643546,humaneval,0.7096774193548387,code,0.8709677419354839
two_stage_relative_kmeans,16,z03,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
two_stage_relative_kmeans,16,z04,50,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0027364380973957446,mbpp,0.5,code,0.7
two_stage_relative_kmeans,16,z05,62,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.05140097459926285,bbh,0.3709677419354839,reasoning,0.3709677419354839
two_stage_relative_kmeans,16,z06,47,qwen3-32b-awq-local,0.9565217391304348,qwen3-14b-awq-local,0.0434782608695653,0.06173850925760266,mmlupro,0.5319148936170213,broad_knowledge,0.5319148936170213
two_stage_relative_kmeans,16,z07,35,qwen3-8b-local,1.0,qwen3-32b-awq-local,0.0,0.05869109386362326,humaneval,0.34285714285714286,code,0.6571428571428571
two_stage_relative_kmeans,16,z08,28,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.02174453313315468,mbpp,0.42857142857142855,code,0.5714285714285714
two_stage_relative_kmeans,16,z09,10,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.0,0.11187132310402685,gpqa,0.4,science,0.4
two_stage_relative_kmeans,16,z10,21,qwen3-8b-local,1.0,qwen3-32b-awq-local,0.0,0.013013669224610273,gsm8k,0.38095238095238093,math_easy,0.38095238095238093
two_stage_relative_kmeans,16,z11,19,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.03479255923973732,bbh,0.21052631578947367,code,0.2631578947368421
two_stage_relative_kmeans,16,z12,37,gemini-3.5-flash,0.9861868062717992,gpt-5.5,0.5418686684288364,0.05734206225863586,math500,0.4594594594594595,math,0.7027027027027027
two_stage_relative_kmeans,16,z13,59,gpt-5.5,0.6027963137266651,qwen3-14b-awq-local,0.6027963137266651,0.0020025083300822546,livemathbench,0.4067796610169492,math,0.8813559322033898
two_stage_relative_kmeans,16,z14,51,gpt-5.5,0.6910992723306489,gemini-3.5-flash,0.24114285617028364,0.18313783222126237,gsm8k,0.21568627450980393,math,0.3137254901960784
two_stage_relative_kmeans,16,z15,50,qwen3-32b-awq-local,0.5517241379310345,qwen3-14b-awq-local,0.2068965517241379,0.1072944718739867,gpqa,0.54,science,0.54
calibration_refined,16,z00,56,qwen3-8b-local,1.0,gemini-3.5-flash,0.07358849853430594,0.07432360027424657,gsm8k,0.7321428571428571,math_easy,0.7321428571428571
calibration_refined,16,z01,57,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.20588235294117652,0.03056897995089092,mbpp,0.45614035087719296,code,0.6842105263157895
calibration_refined,16,z02,37,gemini-3.5-flash,0.9861868062717992,gpt-5.5,0.5418686684288364,0.05734206225863586,math500,0.4594594594594595,math,0.7027027027027027
calibration_refined,16,z03,168,qwen3-32b-awq-local,0.0,qwen3-14b-awq-local,0.0,0.0025663170947468417,aime,0.25595238095238093,math,0.5535714285714286
calibration_refined,16,z04,28,qwen3-4b-local,1.0,gemini-3.5-flash,0.2613872858699998,0.1205457180202661,gsm8k,0.35714285714285715,math_easy,0.35714285714285715
calibration_refined,16,z05,54,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.1428571428571429,0.14140006481797138,humaneval,0.24074074074074073,code,0.46296296296296297
calibration_refined,16,z06,64,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.02469937471716628,humaneval,0.703125,code,0.859375
calibration_refined,16,z07,59,gpt-5.5,0.6027963137266651,qwen3-14b-awq-local,0.6027963137266651,0.0020025083300822546,livemathbench,0.4067796610169492,math,0.8813559322033898
calibration_refined,16,z08,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
calibration_refined,16,z09,25,qwen3-32b-awq-local,1.0,qwen3-4b-local,0.9444444444444444,0.029939778040427623,gpqa,0.56,science,0.56
calibration_refined,16,z10,16,qwen3-14b-awq-local,1.0,gpt-5.5,0.3510220353959469,0.0029764874137233107,math500,0.25,math,0.375
calibration_refined,16,z11,33,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.0635106496488178,gsm8k,0.36363636363636365,math_easy,0.36363636363636365
calibration_refined,16,z12,21,qwen3-14b-awq-local,1.0,qwen3-4b-local,0.9090909090909091,0.020613958204283012,mmlupro,0.47619047619047616,broad_knowledge,0.47619047619047616
calibration_refined,16,z13,40,gemini-3.5-flash,0.966447486552378,qwen3-32b-awq-local,0.086447486552378,0.061175494966215604,mbpp,0.325,code,0.425
calibration_refined,16,z14,54,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0406820466654784,bbh,0.42592592592592593,reasoning,0.42592592592592593
calibration_refined,16,z15,42,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.02265434617100286,mmlupro,0.5714285714285714,broad_knowledge,0.5714285714285714
raw_kmeans,24,z00,174,qwen3-4b-local,0.009900990099009901,qwen3-14b-awq-local,0.009900990099009901,0.004194579279048071,aime,0.2471264367816092,math,0.5402298850574713
raw_kmeans,24,z01,41,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.01876728783458369,bbh,0.5609756097560976,reasoning,0.5609756097560976
raw_kmeans,24,z02,60,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0006108370071154546,bbh,0.2833333333333333,math,0.4
raw_kmeans,24,z03,41,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.03022372582060252,mmlupro,0.5853658536585366,broad_knowledge,0.5853658536585366
raw_kmeans,24,z04,15,qwen3-8b-local,1.0,gemini-3.5-flash,0.012885772609419144,0.024610291068376134,gsm8k,0.5333333333333333,math_easy,0.5333333333333333
raw_kmeans,24,z05,44,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0027364380973957446,mbpp,0.5227272727272727,code,0.7045454545454546
raw_kmeans,24,z06,26,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.001589707687815965,mbpp,0.46153846153846156,code,0.6153846153846154
raw_kmeans,24,z07,62,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.006120441031643546,humaneval,0.7258064516129032,code,0.8870967741935484
raw_kmeans,24,z08,38,gemini-3.5-flash,0.9880934005069463,gpt-5.5,0.2024922724546263,0.023298835187247475,math500,0.5263157894736842,math,0.7368421052631579
raw_kmeans,24,z09,62,gpt-5.5,0.6034626478398005,qwen3-4b-local,0.5428565872337399,0.011760575305043895,livemathbench,0.41935483870967744,math,0.8709677419354839
raw_kmeans,24,z10,34,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.016390785556861364,gsm8k,0.7352941176470589,math_easy,0.7352941176470589
raw_kmeans,24,z11,23,qwen3-32b-awq-local,1.0,qwen3-4b-local,0.9375,0.013296904746142405,gpqa,0.5652173913043478,science,0.5652173913043478
raw_kmeans,24,z12,14,qwen3-32b-awq-local,1.0,gpt-5.5,0.2827711211511421,0.004020372474090242,humaneval,0.35714285714285715,code,0.5714285714285714
raw_kmeans,24,z13,16,qwen3-14b-awq-local,1.0,gpt-5.5,0.3510220353959469,0.0029764874137233107,math500,0.25,math,0.375
raw_kmeans,24,z14,29,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.050000000000000044,0.03901683964547014,mbpp,0.3793103448275862,code,0.7241379310344828
raw_kmeans,24,z15,15,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.00018713604614712333,gsm8k,0.5333333333333333,math_easy,0.5333333333333333
raw_kmeans,24,z16,28,qwen3-4b-local,1.0,qwen3-32b-awq-local,0.0,0.029979630836867915,mbpp,0.4642857142857143,code,0.75
raw_kmeans,24,z17,22,qwen3-4b-local,1.0,gemini-3.5-flash,0.012749877455722869,0.040115941164065826,gsm8k,0.5,math_easy,0.5
raw_kmeans,24,z18,7,gemini-3.5-flash,0.9810717464494408,qwen3-4b-local,0.8382146035922979,0.02668548740211445,gpqa,0.2857142857142857,math,0.5714285714285714
raw_kmeans,24,z19,21,qwen3-14b-awq-local,1.0,qwen3-4b-local,0.9090909090909091,0.020613958204283012,mmlupro,0.47619047619047616,broad_knowledge,0.47619047619047616
raw_kmeans,24,z20,13,qwen3-8b-local,1.0,gemini-3.5-flash,0.6491335232769629,0.14568859327407357,gpqa,0.7692307692307693,science,0.7692307692307693
raw_kmeans,24,z21,13,qwen3-8b-local,1.0,qwen3-14b-awq-local,0.0,0.08484861734836573,gsm8k,0.46153846153846156,math_easy,0.46153846153846156
raw_kmeans,24,z22,6,qwen3-32b-awq-local,1.0,gemini-3.5-flash,0.017122789365736635,0.0006431377290780979,gsm8k,0.5,math_easy,0.5
raw_kmeans,24,z23,10,qwen3-4b-local,1.0,qwen3-14b-awq-local,0.0,0.0002361237866632055,gsm8k,0.8,math_easy,0.8
relative_kmeans,24,z00,35,qwen3-4b-local,1.0,qwen3-8b-local,0.0,0.016390785556861364,gsm8k,0.7142857142857143,math_easy,0.7142857142857143
relative_kmeans,24,z01,168,qwen3-32b-awq-local,0.0,qwen3-14b-awq-local,0.0,0.0025663170947468417,aime,0.25595238095238093,math,0.5535714285714286
relative_kmeans,24,z02,44,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.0027364380973957446,mbpp,0.5227272727272727,code,0.7045454545454546
relative_kmeans,24,z03,59,qwen3-32b-awq-local,1.0,qwen3-14b-awq-local,0.0,0.001076011688774751,humaneval,0.7457627118644068,code,0.9152542372881356
relative_kmeans,24,z04,23,qwen3-4b-local,1.0,gemini-3.5-flash,0.01319972681494519,0.0643898525125051,gsm8k,0.4782608695652174,math_easy,0.4782608695652174
