query_id,Qwen3-8B,Intern-S1-mini,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B
humaneval:test:8,1.0,1.0,1.0,1.0,1.0,1.0
humaneval:test:19,1.0,1.0,0.0,1.0,1.0,1.0
humaneval:test:21,0.0,0.0,0.0,1.0,1.0,0.0
humaneval:test:33,0.0,0.0,0.0,1.0,0.0,0.0
humaneval:test:34,1.0,0.0,1.0,1.0,0.0,0.0
humaneval:test:39,0.0,0.0,0.0,0.0,0.0,0.0
humaneval:test:43,1.0,1.0,1.0,1.0,1.0,1.0
humaneval:test:51,0.0,0.0,0.0,0.0,1.0,0.0
humaneval:test:53,1.0,1.0,1.0,1.0,1.0,1.0
humaneval:test:54,1.0,0.0,1.0,1.0,0.0,1.0
humaneval:test:61,1.0,1.0,0.0,1.0,1.0,1.0
humaneval:test:69,0.0,1.0,0.0,1.0,1.0,0.0
humaneval:test:74,1.0,1.0,0.0,1.0,0.0,1.0
humaneval:test:83,1.0,1.0,1.0,1.0,1.0,0.0
humaneval:test:84,0.0,0.0,0.0,0.0,0.0,0.0
humaneval:test:85,1.0,1.0,1.0,1.0,0.0,0.0
humaneval:test:86,1.0,1.0,1.0,0.0,1.0,1.0
humaneval:test:102,1.0,1.0,0.0,1.0,0.0,0.0
humaneval:test:105,1.0,1.0,1.0,1.0,0.0,1.0
humaneval:test:119,0.0,0.0,0.0,1.0,0.0,0.0
humaneval:test:136,1.0,1.0,0.0,1.0,0.0,1.0
humaneval:test:145,1.0,1.0,0.0,1.0,1.0,1.0
humaneval:test:151,1.0,1.0,0.0,1.0,1.0,1.0
humaneval:test:153,1.0,0.0,1.0,1.0,1.0,0.0
humaneval:test:156,0.0,1.0,0.0,0.0,1.0,1.0
humaneval:test:159,0.0,0.0,0.0,1.0,1.0,1.0
humaneval:test:162,0.0,1.0,0.0,1.0,1.0,0.0
mmlupro:test_1000:1,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:8,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:10,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:18,1.0,0.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:27,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:34,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:35,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:37,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:46,1.0,1.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:57,1.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:60,1.0,1.0,0.0,1.0,0.0,0.0
mmlupro:test_1000:63,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:64,0.0,0.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:67,1.0,1.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:72,1.0,1.0,1.0,0.0,0.0,1.0
mmlupro:test_1000:73,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:78,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:81,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:89,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:97,1.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:106,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:115,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:120,1.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:121,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:124,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:129,0.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:131,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:133,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:137,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:139,1.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:143,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:162,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:166,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:173,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:198,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:200,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:203,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:208,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:210,1.0,0.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:214,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:220,1.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:222,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:225,1.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:228,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:250,1.0,1.0,1.0,0.0,0.0,1.0
mmlupro:test_1000:254,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:256,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:259,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:261,1.0,1.0,1.0,1.0,0.0,0.0
mmlupro:test_1000:262,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:264,1.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:272,0.0,0.0,0.0,1.0,0.0,0.0
mmlupro:test_1000:275,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:284,1.0,0.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:290,1.0,0.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:291,0.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:307,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:308,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:309,1.0,1.0,1.0,0.0,0.0,1.0
mmlupro:test_1000:317,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:321,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:325,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:326,1.0,1.0,1.0,1.0,0.0,0.0
mmlupro:test_1000:335,1.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:346,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:348,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:354,1.0,0.0,0.0,1.0,0.0,0.0
mmlupro:test_1000:355,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:362,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:367,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:368,0.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:377,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:380,0.0,0.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:386,1.0,0.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:393,1.0,0.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:401,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:405,1.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:428,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:431,1.0,0.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:432,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:438,0.0,1.0,0.0,1.0,1.0,0.0
mmlupro:test_1000:439,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:446,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:450,1.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:451,0.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:464,1.0,0.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:471,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:482,1.0,0.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:491,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:496,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:499,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:501,1.0,0.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:502,1.0,1.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:505,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:520,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:524,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:525,1.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:526,0.0,1.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:527,1.0,0.0,1.0,1.0,0.0,0.0
mmlupro:test_1000:530,1.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:531,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:532,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:536,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:543,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:544,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:546,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:554,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:555,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:559,1.0,0.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:564,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:565,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:583,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:584,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:586,0.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:587,0.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:593,1.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:595,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:597,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:599,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:601,1.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:606,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:612,1.0,1.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:614,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:622,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:628,1.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:629,0.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:634,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:635,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:636,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:638,1.0,1.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:641,0.0,0.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:647,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:649,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:655,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:659,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:677,1.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:683,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:684,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:687,1.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:690,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:691,1.0,0.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:694,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:695,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:700,0.0,0.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:709,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:712,1.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:715,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:720,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:725,1.0,1.0,1.0,1.0,0.0,0.0
mmlupro:test_1000:729,0.0,1.0,1.0,1.0,0.0,1.0
mmlupro:test_1000:744,0.0,1.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:752,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:759,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:762,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:774,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:776,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:778,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:785,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:786,1.0,1.0,1.0,0.0,1.0,0.0
mmlupro:test_1000:792,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:794,1.0,1.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:799,1.0,0.0,1.0,1.0,1.0,0.0
mmlupro:test_1000:806,1.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:813,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:815,1.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:820,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:824,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:825,0.0,0.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:826,1.0,1.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:827,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:829,1.0,1.0,1.0,1.0,0.0,0.0
mmlupro:test_1000:832,1.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:839,1.0,0.0,1.0,0.0,1.0,1.0
mmlupro:test_1000:845,1.0,1.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:847,0.0,0.0,1.0,0.0,0.0,0.0
mmlupro:test_1000:848,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:851,0.0,0.0,0.0,0.0,1.0,0.0
mmlupro:test_1000:859,0.0,0.0,0.0,1.0,0.0,0.0
mmlupro:test_1000:868,0.0,0.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:872,1.0,1.0,0.0,0.0,0.0,1.0
mmlupro:test_1000:877,0.0,0.0,0.0,0.0,0.0,0.0
mmlupro:test_1000:882,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:886,1.0,1.0,1.0,1.0,1.0,1.0
mmlupro:test_1000:888,1.0,1.0,1.0,1.0,1.0,1.0
